round,f_00000,f_00001,f_00002,f_00003,f_00004,f_00005,f_00006,f_00007,f_00008,f_00009
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.13390913605690002,0.10596231371164322,0.13829131424427032,0.08906017243862152,0.10386713594198227,0.0632973164319992,0.09517592191696167,0.12885813415050507,0.11023073643445969,0.14110127091407776
2,0.12922780215740204,0.14230982959270477,0.20653697848320007,0.14934386312961578,0.12456800043582916,0.1059398278594017,0.15734447538852692,0.09515008330345154,0.18568040430545807,0.16643312573432922
3,0.07861518859863281,0.13132451474666595,0.14118003845214844,0.13000434637069702,0.14314433932304382,0.027559513226151466,0.12748704850673676,0.09631544351577759,0.12686845660209656,0.08762002736330032
4,0.07899181544780731,0.06585957109928131,0.12002420425415039,0.09113899618387222,0.08834899216890335,0.12165652960538864,0.11560142785310745,0.08067311346530914,0.12017075717449188,0.05692790821194649
5,0.07308469712734222,0.0968567356467247,0.04788975790143013,0.09964362531900406,0.08522265404462814,0.07408160716295242,0.07220505177974701,0.06783634424209595,0.08634654432535172,0.05118444561958313
6,0.019815945997834206,0.056417156010866165,0.09549783915281296,0.047518040984869,0.06757912039756775,0.007708655204623938,0.041465695947408676,0.09078682959079742,0.15284930169582367,0.06253188103437424
7,0.09538712352514267,0.06480758637189865,0.048350218683481216,0.07184688746929169,0.06306029856204987,0.03718443959951401,0.06018385663628578,0.07351114600896835,0.08304712176322937,0.05290748551487923
8,0.005320553667843342,0.052842412143945694,0.05490919575095177,0.034874629229307175,-0.014728624373674393,0.007369277533143759,0.04948773980140686,0.045286450535058975,0.09053780883550644,0.06459087878465652
9,0.03983177989721298,0.09182985126972198,0.0705450102686882,0.07433564960956573,0.06492125242948532,0.0008806629339233041,0.111182801425457,0.012499221600592136,0.03528762608766556,0.05210733041167259
10,0.026685310527682304,0.04525965079665184,0.07489342987537384,0.0651000440120697,0.01879262365400791,0.03041134960949421,0.016355149447917938,0.08317077904939651,0.04844056814908981,0.029965825378894806
11,0.005062757525593042,0.04549175128340721,0.07660317420959473,0.020248254761099815,0.0014236468123272061,0.0549958236515522,0.046932417899370193,0.0380832739174366,0.06278789043426514,-0.004660995211452246
12,0.0471949428319931,0.07044865190982819,0.05162188038229942,0.044601861387491226,0.06264740973711014,0.014563522301614285,0.010431948117911816,0.020800501108169556,0.04123940318822861,-0.002009147545322776
13,0.03716171532869339,0.014808868058025837,0.054744672030210495,0.010040396824479103,0.015244881622493267,0.03326012194156647,0.07957464456558228,0.007881934754550457,0.01444663479924202,0.03996793553233147
14,0.030263811349868774,0.04211892932653427,0.003938490990549326,0.017601821571588516,-0.00430274149402976,-0.016851026564836502,0.09577449411153793,0.06255369633436203,0.021875571459531784,0.0030377269722521305
