round,f_00000,f_00001,f_00002,f_00003,f_00004,f_00005,f_00006,f_00007,f_00008,f_00009
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.44736215472221375,0.39509356021881104,0.3977910876274109,0.36460134387016296,0.37569671869277954,0.34467414021492004,0.374232679605484,0.40556401014328003,0.37048009037971497,0.41729405522346497
2,0.4332382082939148,0.4274962544441223,0.4644943177700043,0.41968652606010437,0.4121731221675873,0.38677123188972473,0.4421252906322479,0.4003995954990387,0.45525917410850525,0.45181804895401
3,0.3369179964065552,0.3919966220855713,0.38520145416259766,0.45125865936279297,0.3467830717563629,0.2698638141155243,0.3947613835334778,0.3536946773529053,0.39010968804359436,0.3367932140827179
4,0.37541624903678894,0.3820066452026367,0.37692025303840637,0.4253693222999573,0.42684856057167053,0.37084949016571045,0.412641704082489,0.3877035081386566,0.386581152677536,0.3399984836578369
5,0.3979969620704651,0.3519049286842346,0.33877143263816833,0.39024171233177185,0.3792571425437927,0.37558799982070923,0.352184921503067,0.3800983726978302,0.3892211616039276,0.29319581389427185
6,0.3170701861381531,0.321388304233551,0.36415353417396545,0.32829368114471436,0.3178302049636841,0.22323733568191528,0.32587671279907227,0.37354138493537903,0.3935432434082031,0.3138989806175232
7,0.36009344458580017,0.3698882758617401,0.36450299620628357,0.3640998899936676,0.3720507025718689,0.25759196281433105,0.34343063831329346,0.37136104702949524,0.34449461102485657,0.3352184295654297
8,0.30577370524406433,0.3265968859195709,0.2939167022705078,0.3388325870037079,0.28552043437957764,0.30025529861450195,0.34276580810546875,0.35260263085365295,0.30031606554985046,0.353581041097641
9,0.37588492035865784,0.3733430802822113,0.34183624386787415,0.3913496732711792,0.36211076378822327,0.28150710463523865,0.4347996711730957,0.3436436653137207,0.3320424556732178,0.3518766164779663
10,0.362700879573822,0.32672780752182007,0.3535976707935333,0.40615949034690857,0.3223635256290436,0.29464438557624817,0.2867416441440582,0.35739243030548096,0.34637197852134705,0.2908031642436981
11,0.32590362429618835,0.34075355529785156,0.3656444251537323,0.3514879047870636,0.32268333435058594,0.34110572934150696,0.316118061542511,0.3855929672718048,0.37794023752212524,0.28909626603126526
12,0.30795422196388245,0.3161846101284027,0.28376832604408264,0.3263147473335266,0.3070375919342041,0.24336950480937958,0.29471564292907715,0.2904272973537445,0.3180293142795563,0.288062185049057
13,0.36471453309059143,0.3286958932876587,0.3223409056663513,0.35405758023262024,0.3366856575012207,0.2774897515773773,0.3721645772457123,0.30502769351005554,0.29430267214775085,0.3459513783454895
14,0.3176315426826477,0.2618618905544281,0.22445562481880188,0.30684080719947815,0.262427419424057,0.25073015689849854,0.36206376552581787,0.33004412055015564,0.23917140066623688,0.26622438430786133
15,0.3361738324165344,0.32491353154182434,0.3499424159526825,0.37986838817596436,0.2768503725528717,0.35344749689102173,0.3128661513328552,0.38049137592315674,0.3708592355251312,0.2639928162097931
16,0.22854430973529816,0.2598748505115509,0.2570338547229767,0.29488256573677063,0.22208335995674133,0.2879703938961029,0.23725545406341553,0.2878012955188751,0.2760882079601288,0.21982775628566742
17,0.22825074195861816,0.31104883551597595,0.2637123763561249,0.2368011176586151,0.28299322724342346,0.30388569831848145,0.2679656744003296,0.25289469957351685,0.2741031348705292,0.2835347652435303
18,0.2620723843574524,0.28530099987983704,0.2840920686721802,0.29559969902038574,0.29641181230545044,0.26802825927734375,0.3084612786769867,0.33967891335487366,0.28260692954063416,0.3340980112552643
19,0.23574592173099518,0.2660048305988312,0.26028764247894287,0.3276320695877075,0.26272761821746826,0.19343839585781097,0.22838756442070007,0.2967325747013092,0.24828961491584778,0.2291717529296875
20,0.36395612359046936,0.33848512172698975,0.3080267012119293,0.3414052128791809,0.3256306052207947,0.29574885964393616,0.30215102434158325,0.3437986671924591,0.2951759099960327,0.27557113766670227
21,0.27932384610176086,0.2548445165157318,0.2406625747680664,0.25681382417678833,0.2851200997829437,0.3076968491077423,0.2944835424423218,0.28437384963035583,0.30241575837135315,0.2860740125179291
22,0.24391967058181763,0.2658192813396454,0.24193641543388367,0.2525980472564697,0.24039022624492645,0.2536837160587311,0.24922069907188416,0.27166953682899475,0.2512875199317932,0.25771018862724304
23,0.25522318482398987,0.25260475277900696,0.2485298067331314,0.28268077969551086,0.30103811621665955,0.23441597819328308,0.2548803687095642,0.3020506501197815,0.2499264031648636,0.26397261023521423
24,0.26830655336380005,0.25120845437049866,0.2561417818069458,0.2872391939163208,0.3054288923740387,0.27280092239379883,0.28229403495788574,0.34687870740890503,0.3025106191635132,0.27877968549728394
25,0.21958878636360168,0.21797016263008118,0.2395125925540924,0.2431740164756775,0.2522084414958954,0.22307276725769043,0.26369473338127136,0.24694938957691193,0.2657252848148346,0.2060145139694214
