round,cosine_drift
0,0.3945878268129222
1,0.4181586454529716
2,0.48955213894276695
3,0.5343851339823906
4,0.5501900465356555
5,0.5604718411212138
6,0.5701175678057272
7,0.581963707891525
8,0.5801921810123114
9,0.5962672361971159
10,0.596591043303528
11,0.6039719593960874
12,0.607191833708259
13,0.6102490487037735
14,0.6138051549614484
15,0.6162047663772341
16,0.6135139420700868
17,0.6266515465583558
18,0.6279086418203838
19,0.6237233209459229
20,0.63030064583333
21,0.6293606376373184
22,0.6332875189558081
23,0.6328630184515213
24,0.625501717610273
25,0.6341240495909775
26,0.6360058504751834
27,0.6462371446903921
28,0.6498948518745248
29,0.6508043452950837
30,0.6524007368617727
31,0.656405078647305
32,0.6607257925298665
33,0.6634755156577128
34,0.6679742468543513
35,0.6727897208076081
36,0.6799907548863984
37,0.686410006001274
38,0.6887760402235669
39,0.6895181035682788
40,0.7041887117162261
41,0.701468481989103
42,0.7148016485171336
43,0.7123057225899337
44,0.7276442571677455
45,0.7382781793406915
46,0.7371449447354104
47,0.7298570075775895
48,0.7519899749533975
49,0.7551810968790663
50,0.7537181469673426
51,0.7661564725697678
52,0.7554626176408684
53,0.775151365362186
54,0.7744652270930581
55,0.7881616476374107
56,0.7903803515564964
57,0.7986104804024892
58,0.8038767821843007
59,0.8077340293324494
60,0.8181475273570677
61,0.8141109453418599
62,0.8168855224209189
63,0.8347508228185727
64,0.8337689655331264
65,0.8340664271578784
66,0.8515690256382482
67,0.847513024017914
68,0.8508120595839407
69,0.860289886339203
70,0.8604238313786147
71,0.8690902744652959
72,0.8801878019737152
73,0.8777603277744032
74,0.8798529323148325
75,0.8923884643980075
76,0.8938125509457444
77,0.8929520820113116
78,0.8939620129175444
79,0.9120015314714379
80,0.9137740311044475
81,0.9149545061799881
82,0.9178554391160377
83,0.9297920294501909
84,0.9285509872255199
85,0.9414631408287851
86,0.93981626595255
87,0.9394110481159788
88,0.9544465607888293
89,0.959483285274673
90,0.9619051468417974
91,0.9788654191221344
92,0.9825530171249706
93,0.9911255204160446
94,1.0027145507994932
95,1.0171695805638947
96,1.027105160861951
97,1.0342014160054955
98,1.0321013084160313
99,1.0283961104354165
