round,cosine_drift
0,0.39475859387923223
1,0.3582312137971086
2,0.31537822542767446
3,0.37700981914842013
4,0.47600266878536657
5,0.329473908739883
6,0.4053266258613371
7,0.45156208834054773
8,0.4513433092661381
9,0.48961052992979026
10,0.3975472432863457
11,0.4522432896036184
12,0.5139842180961854
13,0.47738759737585945
14,0.5247345448234604
15,0.4027919739290936
16,0.501658382897418
17,0.4753812212023925
18,0.5987044450065985
19,0.37509497155522153
20,0.5508158335426889
21,0.3928313808827134
22,0.5467649703529442
23,0.5056306527074388
24,0.44735098075866103
25,0.4864795049443135
26,0.4257762305337865
27,0.6172226188947431
28,0.3987342641415162
29,0.5055786524263232
30,0.42266293603933974
31,0.5363414359791471
32,0.5052499848035175
33,0.4987988394829266
34,0.486004257712647
35,0.43536903940288074
36,0.5147186676828184
37,0.508348758053603
38,0.4628429915881617
39,0.5520790902060615
40,0.46213176738246
41,0.5507444950167892
42,0.4427412678067372
43,0.5566633185495337
44,0.4638925763033275
45,0.5743568620312074
46,0.5033447498884166
47,0.5293986862010708
48,0.5656362289400844
49,0.5460746212238474
50,0.589119164486565
51,0.5038511726283148
52,0.5471716482686224
53,0.5162211661825281
54,0.6166010527268468
55,0.5924584119644154
56,0.5576117522643667
57,0.5706822242913251
58,0.557359973602105
59,0.6482047562897773
60,0.5839898462313068
61,0.6172241429828966
62,0.5822539338935045
63,0.6339784067710527
64,0.6700078853362674
65,0.634115710586718
66,0.6551309688333083
67,0.6486889173530499
68,0.6837300469734451
69,0.6786664798213091
70,0.7015862438648441
71,0.7105729472988492
72,0.7074729078768324
73,0.7143510295120097
74,0.7327865764858079
75,0.7507621364286089
76,0.7552606093588861
77,0.7390921045522321
78,0.7461692804377272
79,0.7856483571980672
80,0.7902455436609134
81,0.7840135009200152
82,0.8087218175876024
83,0.8052958551841635
84,0.8058703960136383
85,0.8323014988804218
86,0.8406674707944204
87,0.8449694436178822
88,0.8439034058325561
89,0.8514435458362078
90,0.8457325508482706
91,0.8670102344845061
92,0.8749976296331609
93,0.8756223704884726
94,0.8908881432898429
95,0.8828167084132177
96,0.9013960450226071
97,0.90333408198186
98,0.8946502344991296
99,0.9109062540416376
