round,f_00000,f_00001,f_00002,f_00003,f_00004,f_00005,f_00006,f_00007,f_00008,f_00009
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.057105571031570435,0.1269347220659256,-0.2630094885826111,0.22627513110637665,-0.009862078353762627,-0.006176140625029802,0.05807305872440338,-0.06515724956989288,-0.1673756241798401,0.03659074380993843
2,0.07438898086547852,0.40282827615737915,0.2470480054616928,-0.226095050573349,0.41434112191200256,-0.12103728950023651,-0.07266712188720703,-0.21136046946048737,0.36891716718673706,0.06104947254061699
3,0.11743517220020294,0.024871826171875,0.3012075424194336,0.2762252986431122,0.16511934995651245,-0.114658884704113,0.08334971219301224,0.37831348180770874,0.18982702493667603,-0.06620166450738907
4,0.13608554005622864,0.25504985451698303,0.07436797022819519,0.240851491689682,0.17714929580688477,-0.18323947489261627,-0.13212914764881134,0.08048626780509949,0.2559821605682373,0.17490500211715698
5,0.13735315203666687,0.4893423616886139,0.099838986992836,0.17773012816905975,0.589911162853241,-0.1493007242679596,-0.09839959442615509,-0.1422107070684433,0.5375428199768066,0.19861575961112976
6,0.16964377462863922,0.44283583760261536,0.07555700838565826,0.24735143780708313,0.6224978566169739,-0.2035648673772812,-0.1649569422006607,-0.2634039521217346,0.4088343381881714,0.08966038376092911
7,0.16425639390945435,0.53108811378479,0.0842234194278717,0.30342018604278564,0.3685559332370758,-0.2025080919265747,-0.18591473996639252,-0.030447833240032196,0.36661550402641296,0.10486996918916702
8,0.1454283446073532,0.3810874819755554,0.026884743943810463,0.3717605471611023,0.5895886421203613,-0.16327980160713196,-0.12106850743293762,-0.08390552550554276,0.46103769540786743,0.19550734758377075
9,0.1482151746749878,0.44891223311424255,0.059641048312187195,0.3159146010875702,0.563646674156189,-0.18524125218391418,-0.19158793985843658,-0.20354416966438293,0.4216991662979126,0.23647019267082214
10,0.12152361869812012,0.32196563482284546,0.1002543717622757,0.1810615509748459,0.49439239501953125,-0.21175366640090942,-0.15838058292865753,-0.13818679749965668,0.4118047058582306,0.14428061246871948
11,0.1805068850517273,0.2831217348575592,0.049401551485061646,0.3870941400527954,0.40288516879081726,-0.19789305329322815,-0.09506721049547195,0.03490588441491127,0.29823529720306396,0.07011006027460098
12,0.09669943898916245,0.5061787366867065,0.20002055168151855,0.3422662317752838,0.4321832060813904,-0.19783470034599304,-0.0237322635948658,-0.25314822793006897,0.37883925437927246,-0.01667061820626259
13,0.1448654681444168,0.40763574838638306,0.06374455988407135,0.3441498279571533,0.4113420248031616,-0.19875942170619965,-0.1064734235405922,-0.1915827989578247,0.4223938584327698,0.12268438935279846
14,0.09877441823482513,0.40652281045913696,0.06068165972828865,0.248796284198761,0.4634395241737366,-0.19586428999900818,-0.12186495959758759,-0.26597902178764343,0.4713413119316101,0.10006561130285263
15,0.12998908758163452,0.37054330110549927,0.09635674953460693,0.1872711032629013,0.4014010727405548,-0.1422235369682312,-0.032151155173778534,-0.30304357409477234,0.34064558148384094,0.15624436736106873
16,0.09199213236570358,0.26849713921546936,0.11685841530561447,0.30329227447509766,0.5203670859336853,-0.16648463904857635,-0.06249087676405907,-0.18864847719669342,0.5087538361549377,0.1237233430147171
17,0.11030963808298111,0.11425793170928955,0.07658062130212784,0.2174062579870224,0.49990764260292053,-0.20149420201778412,-0.1589992195367813,-0.11485587805509567,0.4232463240623474,0.22639314830303192
18,0.10103455185890198,0.33218812942504883,-0.00023332962882705033,0.3165503144264221,0.5070735812187195,-0.16658708453178406,-0.10177712142467499,-0.2592729330062866,0.44393008947372437,0.16056819260120392
19,0.07589775323867798,0.21596355736255646,0.07514089345932007,0.27169662714004517,0.5516683459281921,-0.15452580153942108,-0.15997159481048584,-0.18237906694412231,0.4134431779384613,0.1358904391527176
20,0.12046170979738235,0.2869907319545746,0.026992933824658394,0.2065412551164627,0.3814631402492523,-0.2018195241689682,-0.17577007412910461,-0.004772511310875416,0.35313645005226135,0.09427496790885925
21,0.09592784941196442,0.4189593195915222,0.08081718534231186,0.2713862359523773,0.45173463225364685,-0.16464070975780487,0.02533791959285736,-0.22086095809936523,0.39742159843444824,0.15522880852222443
22,0.08567379415035248,0.32274165749549866,0.032417237758636475,0.07521351426839828,0.48848626017570496,-0.17780935764312744,-0.13423576951026917,-0.29861387610435486,0.45023858547210693,0.21728022396564484
23,0.11576142907142639,0.33488041162490845,-0.08362297713756561,0.1641547530889511,0.428108274936676,-0.19681411981582642,-0.15220490097999573,-0.10585466027259827,0.453814834356308,0.23780541121959686
24,0.1494356393814087,0.25103503465652466,0.18057090044021606,0.2767878472805023,0.47742047905921936,-0.1910906732082367,-0.13701486587524414,-0.008062937296926975,0.41921329498291016,0.2321140021085739
25,0.04242384806275368,0.14079323410987854,-0.09644999355077744,0.02224890887737274,0.321758508682251,-0.22417724132537842,-0.1717325896024704,-0.1718403548002243,0.3743232786655426,0.23346062004566193
26,0.04076552391052246,0.26780152320861816,0.002098909579217434,0.29569119215011597,0.4191531836986542,-0.16265124082565308,0.005900579504668713,-0.08829525858163834,0.4130156338214874,0.133428692817688
27,0.10746180266141891,0.3303973078727722,0.04060496389865875,0.21492213010787964,0.46664994955062866,-0.17065484821796417,-0.0038796612061560154,-0.1973275989294052,0.42413124442100525,0.11262138187885284
28,0.047035880386829376,0.2399454563856125,0.03410070389509201,0.139935702085495,0.31541889905929565,-0.21107646822929382,-0.047055166214704514,-0.19730812311172485,0.4520896375179291,0.22352030873298645
29,0.07293368130922318,0.22736382484436035,0.03435248136520386,0.17719312012195587,0.38694095611572266,-0.20023365318775177,-0.06411917507648468,-0.0257683377712965,0.40983790159225464,0.16209179162979126
30,0.03587430715560913,0.24840465188026428,-0.006116349715739489,0.17935523390769958,0.2412703037261963,-0.22182179987430573,-0.12311569601297379,-0.09849429130554199,0.42081645131111145,0.1914275735616684
31,0.08813967555761337,0.34766966104507446,0.015686573460698128,0.2182701826095581,0.43203338980674744,-0.2150947004556656,-0.052771423012018204,-0.18417905271053314,0.43781957030296326,0.15117186307907104
32,0.10122966766357422,0.2925615608692169,0.06060725823044777,0.18571078777313232,0.41996827721595764,-0.2651483118534088,-0.07272729277610779,-0.231244757771492,0.4181332588195801,0.23283077776432037
33,0.1226712092757225,0.2598443627357483,0.026765771210193634,0.19264723360538483,0.3013538718223572,-0.2854791581630707,-0.05217927321791649,-0.13644981384277344,0.3867320418357849,0.1707298308610916
34,0.11154326796531677,0.2602318227291107,0.0452665239572525,0.2207869291305542,0.30513250827789307,-0.2924312353134155,-0.10133610665798187,-0.187019944190979,0.37882497906684875,0.10845234245061874
35,0.06557612866163254,0.27232587337493896,0.03060847707092762,0.10871527343988419,0.41799378395080566,-0.2519720494747162,-0.10894659906625748,-0.15101578831672668,0.39601758122444153,0.23096828162670135
36,0.08348134905099869,0.2719138562679291,-0.0729476660490036,0.2125336080789566,0.4007619619369507,-0.24932725727558136,-0.09695572406053543,-0.21326927840709686,0.3858029842376709,0.1555010825395584
37,0.10694365948438644,0.25390830636024475,-0.0039260489866137505,0.22991010546684265,0.43351778388023376,-0.28230541944503784,-0.12325005233287811,-0.11381907761096954,0.4084041118621826,0.11637289077043533
38,0.16571083664894104,0.2221682071685791,-0.050786133855581284,0.20864275097846985,0.49246057868003845,-0.3070322871208191,-0.12763649225234985,-0.12987372279167175,0.39143791794776917,0.1793745905160904
39,0.12967851758003235,0.20899975299835205,-0.05137689411640167,0.21550323069095612,0.21167047321796417,-0.3273047208786011,-0.16827383637428284,-0.06734465062618256,0.434894323348999,0.15473812818527222
40,0.11854273080825806,0.13901539146900177,0.06713052093982697,0.22767315804958344,0.4311954975128174,-0.30681371688842773,-0.0753868892788887,-0.13114610314369202,0.4038899838924408,0.11579269915819168
41,0.15395933389663696,0.26465001702308655,-0.07205404341220856,0.2143046259880066,0.42180269956588745,-0.4079672396183014,-0.13576838374137878,-0.07366332411766052,0.34812113642692566,0.1087651252746582
42,0.11505310982465744,0.23243649303913116,-0.050886787474155426,0.3391510248184204,0.3329400420188904,-0.300381600856781,-0.10197573900222778,-0.038914307951927185,0.39889106154441833,0.2197093963623047
43,0.14884759485721588,0.26328909397125244,-0.02158968709409237,0.18669745326042175,0.440595805644989,-0.3965880274772644,-0.11916407197713852,-0.13673730194568634,0.3586955666542053,0.20897838473320007
44,0.131834015250206,0.22049790620803833,0.030520761385560036,0.2393668293952942,0.3643290400505066,-0.3347468376159668,-0.07727298140525818,-0.0566868893802166,0.3737117052078247,0.07936754822731018
45,0.08333040028810501,0.18842926621437073,0.07656185328960419,0.08894927054643631,0.4110066294670105,-0.38675013184547424,-0.0720759779214859,-0.11830001324415207,0.4049532115459442,0.1552499532699585
46,0.1947675496339798,0.29412320256233215,0.04219182953238487,0.2820049822330475,0.41278740763664246,-0.43500155210494995,-0.1670791357755661,-0.08592098206281662,0.3509342670440674,0.06061588227748871
47,0.14358501136302948,0.2184697687625885,-0.0203193798661232,0.160811185836792,0.37522032856941223,-0.4358981251716614,-0.09156724065542221,-0.10657699406147003,0.3953808546066284,0.147269144654274
48,0.17787763476371765,0.24397747218608856,0.03671811893582344,0.29148027300834656,0.3796485960483551,-0.4280604124069214,-0.0798051655292511,-0.034288037568330765,0.38472771644592285,0.13216449320316315
49,0.19551117718219757,0.17398642003536224,0.07837614417076111,0.2175891250371933,0.5059331655502319,-0.44940561056137085,-0.1848340481519699,-0.06917323172092438,0.3797541856765747,0.1416591852903366
50,0.15523938834667206,0.22075669467449188,0.03463562950491905,0.18691791594028473,0.3671422600746155,-0.45975473523139954,-0.11168807744979858,-0.09419663995504379,0.4203447997570038,0.1533960998058319
51,0.2179873287677765,0.31174057722091675,0.03155537322163582,0.3076319992542267,0.35476458072662354,-0.44694873690605164,-0.08031316101551056,-0.11570831388235092,0.34696659445762634,0.1737143099308014
52,0.09764909744262695,0.24872782826423645,0.024884896352887154,0.18303920328617096,0.46199679374694824,-0.4175507426261902,-0.10042950510978699,-0.12976691126823425,0.3990028202533722,0.06948284804821014
53,0.1093178242444992,0.3031333386898041,-0.029689867049455643,0.224446102976799,0.38195300102233887,-0.42174553871154785,-0.017823874950408936,-0.08945490419864655,0.4026324152946472,0.1906193643808365
54,0.15150706470012665,0.19258174300193787,-0.01901959255337715,0.19334545731544495,0.41954469680786133,-0.47405701875686646,-0.11416079103946686,-0.09714465588331223,0.4396815598011017,0.11542364954948425
