round,f_00000,f_00001,f_00002,f_00003,f_00004,f_00005,f_00006,f_00007,f_00008,f_00009
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.536965966,0.605604827,0.932042658,0.525023103,0.92917031,0.887080073,0.924509943,0.886829555,0.577412248,0.492125869
2,0.50534147,0.66715318,0.945676982,0.480732501,0.95209533,0.575399637,0.949695945,0.578361928,0.430025607,0.462440193
3,0.729422987,0.831995308,0.973928928,0.611052811,0.975953519,0.150401622,0.929100156,0.148392022,0.487488568,0.486746013
4,0.766541481,0.767644763,0.96424669,0.387271225,0.92789185,0.643329084,0.892281711,0.644719303,0.596716583,0.578139365
5,0.55793184,0.653024971,0.925587177,0.689988613,0.733372927,0.614569187,0.695264161,0.617799878,0.372786999,0.402674735
6,0.419629753,0.355938226,0.881732404,0.585439861,0.719243348,0.80271256,0.825221896,0.804817975,0.224920318,0.384175986
7,0.481586784,0.392841101,0.932964265,0.561004162,0.874378502,0.482813656,0.872918487,0.486590773,0.474799961,0.469569743
8,0.650194108,0.700628996,0.911224604,0.563056827,0.835554361,0.034218073,0.576066434,0.036049172,0.656544268,0.435731113
9,0.562691808,0.684720635,0.700950861,0.346170574,0.394590139,0.7922346,0.345024675,0.792568803,0.510903299,0.334040284
10,0.291831672,0.369854212,0.500251412,0.29409337,0.241642088,0.877568126,0.370772332,0.880853295,0.172142714,0.255363733
11,0.185777187,-0.026684403,0.5102579,0.358630717,0.459525347,0.921080887,0.469563127,0.935217023,0.331012636,0.327082604
12,0.465772897,0.047074154,0.80669117,0.807716608,0.87564981,0.056655981,0.638834953,0.048342265,0.573771775,0.641970038
13,0.616657853,0.532645226,0.920498013,0.651544094,0.852485597,0.122423649,0.54052192,0.125629544,0.628160059,0.367475659
14,0.615922391,0.704626203,0.705814779,0.416365683,0.660626292,0.881726325,0.568860948,0.882823825,0.445665747,0.104189292
15,0.292841762,0.45953849,0.60854876,0.342334211,0.377775878,0.88794446,0.463903993,0.886163414,0.258017868,0.241696045
16,0.24965021,0.376684517,0.588062346,0.500971437,0.195036024,0.923058391,0.270574898,0.930131376,0.446814954,0.417041302
17,0.334144115,0.347175866,0.517567337,0.601552606,0.206180677,0.636370182,0.164616928,0.683740616,0.668539762,0.473876297
18,0.447554827,0.209662765,0.500448465,0.56824398,0.40726757,0.298202783,0.298657835,0.323193997,0.730340719,0.517644107
19,0.614171505,0.520031512,0.62135607,0.446732759,0.595068276,0.154129833,0.346979618,0.152738869,0.615619302,0.493304849
20,0.566052377,0.67681241,0.656385183,0.164794698,0.620269597,0.319884747,0.455643564,0.307519585,0.35356763,0.309021503
21,0.242256448,0.646703362,0.69964546,0.380124599,0.573223352,0.885074317,0.669326723,0.892155826,0.494689554,0.316303551
22,0.246666402,0.343320221,0.564359069,0.489578038,0.373119801,0.933166265,0.487967283,0.944279432,0.511363268,0.228814423
23,0.493574917,0.083346307,0.551009655,0.594724834,0.279247135,0.732971907,0.378383338,0.786029875,0.59196955,0.287771314
24,0.629200995,0.166167572,0.471280456,0.611820996,0.281665713,0.340867251,0.279439211,0.400099546,0.596615374,0.45976755
25,0.716811478,0.521624982,0.609230995,0.61919415,0.406621754,0.306880295,0.212055534,0.316070139,0.430898219,0.653136075
26,0.481523871,0.727602005,0.661440313,0.409384847,0.531513214,0.349975914,0.258790791,0.325891644,0.210768417,0.606376886
27,-0.090943143,0.714441419,0.621062577,0.084630862,0.471676111,0.543622732,0.377865762,0.551887274,0.309200376,0.629501164
28,0.016608994,0.563868463,0.652697802,0.381899595,0.479486406,0.765203297,0.459187835,0.726233244,0.52851671,0.656823516
29,0.479582846,0.195942372,0.398339361,0.609865308,0.371204436,0.696448445,0.524895966,0.749445856,0.684544802,0.372258902
30,0.615170419,0.024710147,0.225010931,0.5679726,0.261184186,0.577683151,0.588561773,0.668696165,0.626627743,0.317941934
31,0.818008542,0.310533494,0.494815797,0.539864182,0.272027105,0.575668991,0.375265062,0.634378493,0.503100336,0.53369087
32,0.699095011,0.612583041,0.730916202,0.252775013,0.352482796,0.325596094,0.133706212,0.4530586,0.261356652,0.676038742
