round,cosine_drift
0,0.5767136048660696
1,0.4444976574498311
2,0.4742910221743162
3,0.47989635441794026
4,0.4769668386613838
5,0.4808679010622828
6,0.5307255258600021
7,0.5717178423733558
8,0.6196862953098221
9,0.6501037477177094
10,0.6857023348838687
11,0.7112861138939979
12,0.7339654830428317
13,0.7521462750890784
14,0.7627761589529622
15,0.7782970699235879
16,0.7796596012412016
17,0.7884472652045814
18,0.788435359711852
19,0.798352468214904
20,0.8113278974658192
21,0.8094763160981997
22,0.7933631735915464
23,0.8188955874296425
24,0.8152929966979139
25,0.8256752023826043
26,0.8257842401448173
27,0.8341379141997861
28,0.8316663861943946
29,0.8286292566620174
30,0.8477383906071507
31,0.8447277972461431
32,0.8377537027631903
33,0.8483768066793089
34,0.8495650212687613
35,0.8586203805636863
36,0.842626043399815
37,0.8614799232900514
38,0.8532230512076284
39,0.8645367828381781
40,0.8590451484011189
41,0.8660020596360903
42,0.8647497829027211
43,0.870518860438625
44,0.8708570424406814
45,0.8766065020697674
46,0.8625158398354188
47,0.8662639717879966
48,0.8631648049107347
49,0.8768177905668051
50,0.8857568418542969
51,0.8889207949239936
52,0.87379733306986
53,0.8915434505214652
54,0.8741739338856617
55,0.8896828553972396
56,0.8969570429657036
57,0.8903982015768843
58,0.88374026485137
59,0.8984940649471794
60,0.8964366782830017
61,0.8977402495563397
62,0.9044816300442609
63,0.8991899075123536
64,0.9063581885072005
65,0.9097154333435095
66,0.9171543600092568
67,0.9086139132844405
68,0.9065964488296792
69,0.918772956288132
70,0.9112714761225887
71,0.9161092642202795
72,0.9312946326414241
73,0.9263913087000455
74,0.9234211827422164
75,0.9280258913100141
76,0.9362428134944901
77,0.9367542689396802
78,0.9363525337866029
79,0.9270552946125079
80,0.9469353011781255
81,0.9407644958996203
82,0.9368759987912721
83,0.944128243273705
84,0.9530300286568902
85,0.9469020075947144
86,0.9542938544011162
87,0.9617969208674009
88,0.9583588260658359
89,0.9620909642252279
90,0.9651759385679394
91,0.959829239618524
92,0.9645834477382909
93,0.9575074997178263
94,0.9752265777366935
95,0.9758489823488435
96,0.9783198193086913
97,0.9847885031947861
98,0.984975043761281
99,0.9858639918796671
