round,cosine_drift
0,0.5104533087094512
1,0.3890710411433714
2,0.2547723986104667
3,0.10429585889327062
4,0.05418516896556103
5,0.07847510768948411
6,0.12935736293548225
7,0.15461458694216818
8,0.23730651508314024
9,0.2035733491842988
10,0.24522989295950337
11,0.22695748363192852
12,0.28780591338751116
13,0.22807031962947547
14,0.3035488254202609
15,0.2604691200551751
16,0.2909545055018503
17,0.19002433077483433
18,0.33045606974181324
19,0.26679534110944847
20,0.3515815288626309
21,0.3554974595533336
22,0.3236143284678266
23,0.30597970150773396
24,0.34171642285944615
25,0.3548496300664207
26,0.30725941011317925
27,0.2804401514965691
28,0.4429751457636081
29,0.3836034009413724
30,0.392295059851595
31,0.38796649829486024
32,0.472634241988833
33,0.374142100263347
34,0.4119571860491851
35,0.36254694415153693
36,0.4289486452561061
37,0.41735803636147906
38,0.46187444964241986
39,0.5600984124519439
40,0.361145679389893
41,0.5290720863679604
42,0.4118701478175923
43,0.47648542181381426
44,0.48382306480669796
45,0.3389007207384952
46,0.5438159112059279
47,0.4860837700449455
48,0.4131776861161303
49,0.4096267418703029
50,0.4370100672407163
51,0.4368565257195207
52,0.4067067722026799
53,0.3978688778435783
54,0.4104842637048981
55,0.5204532254018811
56,0.5237479534329681
57,0.6004794063896168
58,0.5050131382297903
59,0.6369279412688892
60,0.5096902931252146
61,0.6084316177653287
62,0.45128115266996477
63,0.5854358767330616
64,0.55374364032592
65,0.592365622070561
66,0.6412474805019815
67,0.5557999117127634
68,0.5661803703368076
69,0.643006894410942
70,0.5352606953559444
71,0.5289389414367015
72,0.5693301322659973
73,0.6852489300264202
74,0.6031571433919468
75,0.6151210454529921
76,0.6360841213971312
77,0.6431282913899746
78,0.693303024956234
79,0.7143387054648782
80,0.688439794748858
81,0.69516080515711
82,0.6984261594928604
83,0.6982278445988261
84,0.736425791308899
85,0.6992287251743384
86,0.726712101416656
87,0.789434539400444
88,0.7351180416040668
89,0.8323685128080651
90,0.7640147131401867
91,0.7243556738891455
92,0.7224045328344035
93,0.7805197241305769
94,0.8066614740569565
95,0.7944942225461831
96,0.766874963624665
97,0.7982099159969906
98,0.7728493129672506
99,0.7633204710670762
