round,cosine_drift
0,0.510447424442698
1,0.43120294878688464
2,0.31202539766352394
3,0.15280398082753832
4,0.08266134417561506
5,0.11756087053297551
6,0.14743472087457044
7,0.17619385897424253
8,0.24205012855946403
9,0.23427453370721135
10,0.2633640733493525
11,0.29458345669295916
12,0.324409091592529
13,0.2880638616062901
14,0.32980232401841936
15,0.3394704995651492
16,0.39292487945272847
17,0.3303978844602934
18,0.3799011224819576
19,0.3662227332771965
20,0.3918292704114675
21,0.43083480061392054
22,0.41210416045607035
23,0.4166225732596722
24,0.4308754164791471
25,0.4358196744839126
26,0.4533978162340795
27,0.4641545054011841
28,0.527476560970116
29,0.5042676359379759
30,0.4923626851224037
31,0.483096526845502
32,0.5144488854592474
33,0.5059427059377193
34,0.4964935907930654
35,0.5286087445848009
36,0.5699769028933126
37,0.5355645757465494
38,0.5460525754881995
39,0.609584742559781
40,0.470443305178871
41,0.5868289550270076
42,0.5808295604882431
43,0.6548205411358016
44,0.6077236405712464
45,0.41434227553543934
46,0.5769028420120289
47,0.6195333582175584
48,0.587331642835775
49,0.630054681330715
50,0.6113800671920909
51,0.628196757807946
52,0.6268068351773304
53,0.6307716075251995
54,0.6578670138667573
55,0.6956069095156265
56,0.6175352296405328
57,0.6743153403761611
58,0.6712391760195726
59,0.6952363666743464
60,0.6238960036975771
61,0.747175910498829
62,0.5610505700808835
63,0.7106006204520453
64,0.7129237641448996
65,0.772215118137188
66,0.7439971062417674
67,0.7419132353302264
68,0.7143508623925364
69,0.7794101497930087
70,0.8022997634505031
71,0.7451125891789006
72,0.7063145810593949
73,0.7476043126876535
74,0.7462903753225505
75,0.7774839264097066
76,0.7988882296249523
77,0.8377831751466508
78,0.8408412318136723
79,0.8522354346157991
80,0.8453157288444961
81,0.8624762404279105
82,0.8501889484501974
83,0.8753860551047467
84,0.8790338466022258
85,0.8853575288076236
86,0.8888626485164226
87,0.9009164273672372
88,0.8599354388335743
89,0.9141236601227103
90,0.8924628304394429
91,0.9447750947545447
92,0.9361916131493561
93,0.9279093061567916
94,0.946329998539608
95,0.945626168377075
96,0.9854966418565385
97,0.9454268290030425
98,0.9402876081296001
99,0.9428414074425886
