round,cosine_drift
0,0.633050573133132
1,0.47442695049907385
2,0.4785451878399645
3,0.47222080994654264
4,0.4770261655227105
5,0.4848763703142258
6,0.48818519665391535
7,0.4997225274703559
8,0.501601808464432
9,0.49944817702931943
10,0.5108656689718445
11,0.5095064196578959
12,0.5151302032736601
13,0.5198823395042271
14,0.5215837409230337
15,0.5206062896444053
16,0.5238311640937214
17,0.5229989391732768
18,0.5229696880729006
19,0.5340372522714982
20,0.5340369693534215
21,0.5258212793285371
22,0.5321991102484507
23,0.531021878556285
24,0.5376553764198395
25,0.5421582663726857
26,0.5421269928372702
27,0.5450443245125126
28,0.546106252745072
29,0.5478139215604122
30,0.553193425446294
31,0.5502860789021626
32,0.5519663862008524
33,0.5567532610119152
34,0.5560303199729597
35,0.5558323302682985
36,0.571273254153187
37,0.5620875901858446
38,0.5581822724813614
39,0.5634594747879069
40,0.5644061503609882
41,0.5667370212819578
42,0.5646134671050318
43,0.5765674375515075
44,0.5818611804146627
45,0.5751398180196706
46,0.5838769085035245
47,0.5834757724069415
48,0.5892811780944304
49,0.5909709970194921
50,0.5938523331802117
51,0.6029830298836498
52,0.604976422917995
53,0.601684734955036
54,0.6165249046447131
55,0.6170609871237875
56,0.6184915155419649
57,0.6179758608967713
58,0.6332579014880338
59,0.6261857874385958
60,0.6315862859975049
61,0.6346557673426454
62,0.6316091171510825
63,0.646914053455281
64,0.645447934051315
65,0.658413979283398
66,0.6514240459885096
67,0.6629151837520093
68,0.6750946153800277
69,0.6811502064374858
70,0.6670737246327789
71,0.6782328356032489
72,0.6736730751121875
73,0.6861349598838713
74,0.6832898910904541
75,0.6862812713357375
76,0.6917695299172675
77,0.7005713126813133
78,0.7005815871039737
79,0.7098120251765784
80,0.7042555712372756
81,0.7074572130069642
82,0.7090964714328364
83,0.709673679417473
84,0.7163927415882225
85,0.7218232552236469
86,0.7217882341000726
87,0.7201572457237893
88,0.7223638341881008
89,0.7296592515450603
90,0.7255840201562089
91,0.7301246956001433
92,0.7326253124148778
93,0.7299210912020627
94,0.7330547377353696
95,0.7346872045093006
96,0.7357908832406804
97,0.733481512655305
98,0.7315765897218834
99,0.7297433199575352
