round,f_00000,f_00001,f_00002,f_00003,f_00004,f_00005,f_00006,f_00007,f_00008,f_00009
0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.600474477,0.658277571,0.774074554,0.465125769,0.493960649,0.594680667,0.560828686,0.649079204,0.680970967,0.763803661
2,0.679622769,0.580504596,0.899106801,0.491748571,0.430187821,0.433720499,0.506562233,0.442212433,0.699186265,0.887676537
3,0.725863755,0.415880799,0.731211305,0.542592525,0.493819803,0.527255654,0.535150766,-0.030570535,0.647818267,0.881573856
4,0.733260036,0.107755773,0.720198214,0.540840924,0.618804872,0.467793405,0.412466288,0.433842123,0.415042877,0.828948259
5,0.718119204,0.508168578,0.775018513,0.259363443,0.539332807,0.600428104,0.056504492,0.646936417,0.568973243,0.567698777
6,0.630888939,0.810983717,0.35812822,0.384089053,0.281019896,0.738664687,0.680328369,0.616151869,0.625926137,0.624261141
7,0.3683137,0.728317916,0.337864935,0.452615559,-0.055769961,0.52183491,0.576370716,0.53746134,0.251146227,0.491562217
8,0.29118821,0.322401404,0.422633231,0.541372836,0.095946312,0.545440793,0.591615736,0.467084408,0.039564185,0.374561101
9,0.378881812,0.137245119,0.513337076,0.55985707,0.294518411,0.410151571,0.60392195,0.426095814,-0.028620964,0.234343305
10,0.45490706,0.365895987,0.607198417,0.477774471,0.338799149,0.436700344,0.198063672,0.379898161,0.150137022,0.199755996
11,0.591925323,0.626096427,0.613855898,0.253550559,0.311488062,0.609901547,0.124701679,0.377195358,0.413579732,0.188825488
12,0.671405256,0.688015938,0.529934406,0.382658362,-0.061293367,0.766604602,0.379020125,0.347025186,0.392709166,0.373830795
13,0.630296767,0.387243688,0.502806783,0.515716672,-0.172340915,0.642991662,0.501437008,0.468466312,0.1650123,0.495517582
14,0.495510191,0.345150262,0.467845529,0.514523447,0.065769717,0.376478374,0.611351669,0.756924331,0.107267991,0.550818622
15,0.382868797,0.457937688,0.513706326,0.474173754,0.231883511,0.283135653,0.509104908,0.74749589,0.12714389,0.268533558
16,0.546013594,0.559236467,0.363812149,0.56437546,0.315079689,0.827127159,0.209905818,0.156695157,0.202632919,0.131199822
17,0.578448892,0.435710549,0.077651456,0.334053695,0.2976771,0.839917243,0.16161257,-0.275635034,0.199892625,0.141384512
18,0.462985843,0.511496007,0.6570912,0.236405179,0.408078253,0.244766906,0.320786178,0.673114061,0.412420899,0.412513435
19,0.17080234,0.599598944,0.696935177,0.282186836,0.246347874,-0.003464987,0.450673431,0.574319959,0.451074004,0.443391025
20,0.557714283,0.505669355,0.605894983,0.521163166,-0.078554206,0.605929375,0.488323629,0.838142693,0.152162448,0.358924329
21,0.636592925,0.451822281,0.253671855,0.463395029,-0.112498961,0.733644366,0.464411318,0.561315715,-0.018407123,0.219725773
22,0.668185651,0.562043726,-0.1291738,0.462784767,0.091235667,0.861374795,0.375728339,-0.147953629,0.130274698,0.27092728
23,0.467147261,0.698635757,0.01569307,0.613524437,0.354056895,0.396434486,0.165977642,0.084481798,0.397612393,0.215915561
24,0.008180152,0.543028295,0.501328886,0.518918872,0.581916392,-0.230478987,0.194173202,0.686395109,0.541049123,0.27832216
25,-0.080496088,0.326537013,0.633484066,0.393189758,0.528152108,-0.09392333,0.459839702,0.657585561,0.350503206,0.376278341
26,0.446647197,0.278303325,0.662476361,0.390431941,-0.037596993,0.521097064,0.608435512,0.840562999,-0.05873907,0.274047762
27,0.560554504,0.429378241,0.480772227,0.404931039,-0.222410843,0.677259445,0.628123045,0.538355947,-0.018526895,0.205567673
28,0.601780832,0.759759545,0.149873823,0.53021878,-0.027700914,0.730081677,0.257382601,0.079898007,0.320365399,0.144171715
29,0.513213158,0.902156949,0.138297871,0.610500097,0.145108387,0.508996904,-0.200350717,0.203220457,0.480914652,0.001117473
30,0.420518219,0.609597147,0.113910303,0.604451835,0.427006125,0.318131536,0.1898527,0.53049767,0.530854642,0.157040626
31,0.416773915,-0.096080728,0.264278829,0.418596089,0.592769861,0.378256321,0.663700759,0.694672942,0.131089583,0.460302562
32,0.394148856,-0.253438413,0.455211937,0.424343675,0.346277595,0.448291123,0.649286985,0.663410783,-0.342643172,0.483392596
33,0.441040307,0.24998346,0.475055069,0.511069477,0.067554049,0.539840341,0.581186175,0.56489706,-0.195974335,0.337292999
34,0.41887325,0.760170698,0.356028557,0.545298755,0.094525039,0.519143343,0.147752643,0.354323238,0.172492236,0.026612816
35,0.489039183,0.80619669,0.346487224,0.50880307,0.201954022,0.464733899,-0.256384462,0.324122667,0.313857228,-0.106042191
36,0.5381037,0.768645346,0.357129812,0.491959095,0.21266605,0.487659484,-0.042746197,0.376353294,0.469400644,0.15004088
37,0.569819629,0.566278934,0.351981431,0.553911328,0.153258264,0.484551996,0.578483224,0.468110651,0.460404336,0.556846917
38,0.612712145,0.006503466,0.336041003,0.556216002,0.203136072,0.502689123,0.710882068,0.548837781,0.137455881,0.596017659
39,0.685227096,0.126330003,0.317531884,0.582002699,0.288463861,0.667274058,0.516661406,0.622703493,-0.020802824,0.354201704
40,0.725174963,0.665180266,0.235854223,0.597382665,0.335318595,0.654089272,0.310635626,0.438677669,0.134651363,-0.010433283
41,0.600916922,0.730833352,0.278195739,0.568861902,0.292509407,0.50489378,-0.083052509,0.321603596,0.168113083,-0.088672526
42,0.453852922,0.597273767,0.500792384,0.49509123,0.304552972,0.28711012,-0.098314606,0.50638634,0.249312729,0.060951039
43,0.434867918,0.648057699,0.650703192,0.324327558,0.201958343,0.277318984,0.381759644,0.42358914,0.352108926,0.511247516
44,0.606164813,0.455869526,0.455272526,0.368541211,0.067590699,0.561700523,0.70887512,0.12703681,0.218038812,0.750593543
45,0.676408529,0.289457947,0.249693021,0.684125423,0.140738592,0.815245092,0.650076807,0.250250578,0.118394352,0.515258312
46,0.626213312,0.44772011,0.179542154,0.753092945,0.255198985,0.859130383,0.446249425,0.400317699,0.198735341,0.00823634
47,0.499780476,0.601453602,0.243925899,0.739914775,0.390017182,0.450033873,0.252432555,0.615401447,0.33903724,-0.163754851
48,0.186489269,0.666666329,0.364189476,0.659253538,0.432598621,-0.055712223,0.143806726,0.80216068,0.449971884,-0.117814451
49,0.392526209,0.645345449,0.259148777,0.722537816,0.323871851,0.316463023,-0.005116456,0.436844498,0.276439279,0.04967235
