round,cosine_drift
0,0.500029945234683
1,0.5303140348170198
2,0.5123346421784928
3,0.5037088087013464
4,0.501449645053913
5,0.5090530362220639
6,0.5157905429004653
7,0.525575114904026
8,0.5392080853642768
9,0.546932391456316
10,0.5582085999249171
11,0.565950026573106
12,0.5705437003406483
13,0.5758448274497303
14,0.5822541671426726
15,0.589858243649231
16,0.5962096182086888
17,0.6007859646406343
18,0.6063960817757282
19,0.612561879952873
20,0.6189471444459181
21,0.6232273752865256
22,0.6304235876077405
23,0.6352559527241072
24,0.6409750131381919
25,0.6449690154187817
26,0.6508155772964046
27,0.6572902317342838
28,0.6606875653091758
29,0.6680843060656629
30,0.6698959193825162
31,0.6756024430453103
32,0.6791778153370809
33,0.6805300122039495
34,0.6881742607998786
35,0.6906767495949795
36,0.6948137232568308
37,0.6993504899270735
38,0.7029599516848942
39,0.7058126764646772
40,0.7089460686960578
41,0.7152139171428844
42,0.7155008185422116
43,0.7198812899883718
44,0.7234078509958073
45,0.7264160065447586
46,0.7286974463499054
47,0.7328128158106243
48,0.7349459556913234
49,0.7381875368340411
50,0.7400125527838555
51,0.7436075318678431
52,0.7459900192407967
53,0.7482047782819994
54,0.7544891028743707
55,0.7548514959630356
56,0.758570701924654
57,0.7598668039852131
58,0.7639955227564631
59,0.7647866861044721
60,0.7671869394492927
61,0.769153078004925
62,0.7720628716704517
63,0.7763247135464942
64,0.7772562684512108
65,0.7788201227708438
66,0.7817594548196318
67,0.7849676440119638
68,0.7877637669866331
69,0.7882143046030002
70,0.7889412656331745
71,0.7933662521447937
72,0.7928409354914995
73,0.798557961128984
74,0.799462814280638
75,0.8001606818933036
76,0.8042737276020148
77,0.8052038177148634
78,0.8076939411568759
79,0.8073265885378935
80,0.8100439512895171
81,0.8110462173347318
82,0.8128944372644034
83,0.8151570615505337
84,0.8180401671448376
85,0.8182164346983376
86,0.8169947494507476
87,0.8210202522044396
88,0.8211228954529975
89,0.8233876982175715
90,0.8233365986824487
91,0.8245699537096454
92,0.8264814408418102
93,0.8265588249528784
94,0.8267838137107106
95,0.8274430673173576
96,0.8266142667383674
97,0.8269749793686711
98,0.8268660067693663
99,0.8307006122493283
